96|15
69|95
69|66
41|61
41|26
41|28
66|75
66|96
66|99
66|95
25|74
25|89
25|48
25|61
25|75
11|74
11|26
11|51
11|82
11|95
11|61
17|58
17|63
17|41
17|39
17|62
17|64
17|46
63|25
63|27
63|46
63|24
63|12
63|53
63|11
63|52
72|24
72|11
72|23
72|85
72|61
72|82
72|53
72|36
72|95
61|74
61|83
61|91
61|93
61|87
61|52
61|69
61|51
61|42
61|27
19|36
19|89
19|75
19|85
19|25
19|28
19|65
19|52
19|41
19|46
19|64
39|23
39|96
39|64
39|12
39|82
39|15
39|95
39|99
39|85
39|36
39|25
39|61
58|25
58|63
58|65
58|23
58|95
58|39
58|36
58|64
58|22
58|82
58|72
58|75
58|89
75|74
75|87
75|61
75|89
75|99
75|18
75|53
75|11
75|88
75|48
75|28
75|82
75|91
75|51
89|69
89|26
89|24
89|87
89|74
89|52
89|67
89|17
89|91
89|86
89|27
89|85
89|93
89|88
89|62
36|53
36|67
36|92
36|93
36|82
36|85
36|28
36|18
36|91
36|74
36|52
36|24
36|42
36|87
36|26
36|86
27|17
27|91
27|69
27|48
27|66
27|34
27|83
27|19
27|26
27|22
27|96
27|93
27|18
27|72
27|67
27|15
27|39
91|72
91|46
91|41
91|17
91|66
91|63
91|39
91|93
91|15
91|96
91|34
91|12
91|83
91|69
91|42
91|58
91|22
91|62
15|63
15|65
15|85
15|82
15|36
15|75
15|88
15|61
15|95
15|52
15|28
15|74
15|11
15|12
15|46
15|53
15|41
15|23
15|87
93|46
93|41
93|25
93|75
93|72
93|66
93|99
93|12
93|58
93|22
93|17
93|15
93|39
93|65
93|63
93|62
93|79
93|11
93|64
93|95
28|51
28|72
28|22
28|91
28|17
28|26
28|79
28|18
28|62
28|34
28|67
28|69
28|93
28|58
28|39
28|48
28|74
28|87
28|86
28|42
28|92
67|91
67|41
67|17
67|12
67|79
67|58
67|96
67|72
67|63
67|65
67|42
67|46
67|39
67|86
67|25
67|93
67|22
67|62
67|69
67|66
67|34
67|83
23|34
23|93
23|82
23|24
23|87
23|69
23|83
23|18
23|67
23|85
23|26
23|52
23|88
23|51
23|89
23|61
23|48
23|53
23|36
23|28
23|27
23|92
23|74
26|34
26|66
26|93
26|96
26|63
26|62
26|65
26|22
26|67
26|69
26|12
26|17
26|15
26|48
26|91
26|39
26|86
26|19
26|51
26|83
26|72
26|42
26|79
26|58
12|23
12|82
12|11
12|27
12|46
12|25
12|92
12|61
12|18
12|85
12|75
12|53
12|52
12|89
12|41
12|88
12|87
12|74
12|99
12|95
12|36
12|64
12|24
12|28
24|52
24|18
24|53
24|42
24|92
24|48
24|66
24|58
24|88
24|62
24|93
24|69
24|27
24|91
24|67
24|34
24|51
24|74
24|17
24|83
24|26
24|87
24|28
24|86
62|79
62|58
62|96
62|41
62|22
62|11
62|15
62|65
62|36
62|75
62|64
62|82
62|99
62|95
62|66
62|46
62|72
62|23
62|12
62|61
62|19
62|39
62|63
62|25
48|65
48|39
48|93
48|15
48|62
48|67
48|51
48|19
48|79
48|42
48|66
48|96
48|17
48|72
48|91
48|34
48|41
48|86
48|22
48|58
48|63
48|69
48|12
48|83
85|74
85|42
85|17
85|26
85|91
85|53
85|67
85|87
85|88
85|62
85|51
85|58
85|83
85|69
85|24
85|52
85|34
85|27
85|28
85|92
85|48
85|86
85|18
85|93
83|15
83|72
83|66
83|86
83|62
83|65
83|17
83|79
83|58
83|64
83|22
83|12
83|11
83|39
83|25
83|63
83|41
83|96
83|42
83|69
83|75
83|46
83|19
83|93
64|75
64|26
64|48
64|27
64|51
64|87
64|74
64|92
64|95
64|85
64|18
64|52
64|82
64|11
64|61
64|28
64|53
64|23
64|36
64|88
64|24
64|89
64|67
64|99
99|83
99|82
99|18
99|91
99|53
99|89
99|48
99|27
99|69
99|24
99|88
99|74
99|52
99|28
99|36
99|34
99|92
99|23
99|85
99|87
99|61
99|67
99|26
99|51
42|17
42|65
42|72
42|63
42|15
42|12
42|99
42|66
42|75
42|62
42|22
42|95
42|19
42|58
42|46
42|11
42|96
42|39
42|23
42|25
42|86
42|64
42|79
42|41
51|69
51|58
51|79
51|25
51|63
51|17
51|65
51|67
51|41
51|39
51|19
51|62
51|93
51|12
51|83
51|86
51|42
51|91
51|34
51|66
51|15
51|72
51|22
51|96
87|58
87|51
